详情链接,缩略图,楼盘名称,楼盘地址,户型,楼盘状态,楼盘标签,楼盘价格
https://wx.fang.anjuke.com/loupan/445035.html,https://pic4.ajkimg.com/display/xinfang/af3bc4fa2494c345bbc232ff5e13aa82/180x135m.jpg,世茂璀璨时光,[ 梁溪 崇安 ] 锡沪路与通江大道交界处（乐都汇商圈的...,"['3室', '建筑面积：97-132㎡']","['在售', '住宅']","['新开盘', '低单价', '轨交房', '装修交付']",均价13500元/㎡
https://wx.fang.anjuke.com/loupan/416292.html,https://pic4.ajkimg.com/display/xinfang/70d4822a0e77833cc1079204681955ff/180x135m.jpg,中洲崇安府,"[ 梁溪 崇安 ] 锡沪东路,近广和路","['3室', '4室', '建筑面积：96-140㎡']","['在售', '住宅']","['项目在建', '轨交房', '小型社区', '购物中心']",均价19500元/㎡
https://wx.fang.anjuke.com/loupan/428507.html,https://pic4.ajkimg.com/display/xinfang/7f6ca22f32801b1f036f4f86b0cfcb33/180x135m.jpg,万科天一玖著,"[ 惠山 堰桥 ] 天昌路,近凤鸣路","['3室', '4室', '建筑面积：93-140㎡']","['在售', '住宅']","['项目在建', '轨交房', '装修交付', '品牌开发商']",最低16500元/㎡起
https://wx.fang.anjuke.com/loupan/250549.html,https://pic4.ajkimg.com/display/xinfang/576ef4ab0e9870ae0c615bad4c502482/180x135m.jpg,无锡科技城(协信未来城),[ 梁溪 北塘 ] 江海西路888号 （原金山北科技园会岸路...,"['1室', '2室', '3室', '4室', '建筑面积：60-135㎡']","['在售', '住宅']","['新开盘', '低单价', '项目在建', '装修交付']",均价14000元/㎡
https://wx.fang.anjuke.com/loupan/430836.html,https://pic4.ajkimg.com/display/xinfang/3dc478f1ae09befec61ceeeb2283000f/180x135m.jpg,万科天一新著,"[ 惠山 堰桥 ] 凤鸣路,近天锦路","['3室', '4室', '建筑面积：93-128㎡']","['在售', '住宅']","['新开盘', '项目在建', '轨交房', '装修交付']",最低15500元/㎡起
https://wx.fang.anjuke.com/loupan/250643.html,https://pic4.ajkimg.com/display/xinfang/99b6f3917db772e0abf1cf0b43b9122f/180x135m.jpg,吉宝澜岸铭邸,[ 滨湖 太湖 ] 高浪路，近金石路,"['2室', '3室', '4室', '别墅', '建筑面积：81-644㎡']","['在售', '住宅']","['新开盘', '项目在建', '装修交付', '品牌开发商']",均价24000元/㎡
https://wx.fang.anjuke.com/loupan/248056.html,https://pic4.ajkimg.com/display/xinfang/3f95d3b91eea36c57bc6491e9997a47d/180x135m.jpg,荣悦湾,[ 滨湖 太湖 ] 观湖路88号,"['别墅', '建筑面积：217.3-400.58㎡']","['在售', '别墅']","['今年交房', '项目在建', '低容积', '小型社区']",均价20000元/㎡
https://wx.fang.anjuke.com/loupan/250771.html,https://pic4.ajkimg.com/display/xinfang/19451b274a69bcb5d0e322154dc6a18e/180x135m.jpg,无锡万达城,[ 滨湖 太湖 ] 蠡湖大道与具区路交叉口往南150米,"['2室', '3室', '4室', '商住', '建筑面积：40-167.17㎡']","['在售', '住宅']","['新开盘', '今年交房', '项目在建', '装修交付']",最低19000元/㎡起
https://wx.fang.anjuke.com/loupan/416066.html,https://pic4.ajkimg.com/display/xinfang/a003476a2b6f43bb729ce8970a3089de/180x135m.jpg,融侨悦府,"[ 梁溪 崇安 ] 江海路,近广益路","['1室', '2室', '3室', '4室', '5室', '建筑面积：50-157㎡']","['在售', '住宅']","['项目在建', '小型社区', '购物中心', '商业街']",均价23000元/㎡
https://wx.fang.anjuke.com/loupan/244399.html,https://pic4.ajkimg.com/display/xinfang/f8ab39e87c2e1e1f41166359975c4547/180x135m.jpg,弘阳三万顷,[ 滨湖 马山 ] 环山东路8号,"['别墅', '建筑面积：94-554.98㎡']","['在售', '别墅']","['项目在建', '品牌开发商', '高绿化率', '小型社区']",总价300万元/套起
https://wx.fang.anjuke.com/loupan/239799.html,https://pic4.ajkimg.com/display/xinfang/53f4707f3d9f948cfeb44950ecc0eb78/180x135m.jpg,栖霞东方天郡,[ 锡山 东北塘 ] 东亭北路，近芙蓉六路,"['2室', '3室', '4室', '5室', '建筑面积：88-217㎡']","['在售', '住宅']","['低单价', '项目在建', '低容积', '小型社区']",最低12000元/㎡起
https://wx.fang.anjuke.com/loupan/435648.html,https://pic4.ajkimg.com/display/xinfang/6056a617612c962cdae86b8162b3518a/180x135m.jpg,保利融侨时光印象,[ 梁溪 崇安 ] 北中路与桐桥港路交叉口西南侧,"['3室', '4室', '建筑面积：95-135㎡']","['在售', '住宅']","['项目在建', '品牌开发商', '大型社区', '南北通透']",最低15500元/㎡起
https://wx.fang.anjuke.com/loupan/416890.html,https://pic4.ajkimg.com/display/xinfang/5b91146364a6e63ca144af8827fe8ccd/180x135m.jpg,华润江南府,"[ 锡山 东亭 ] 云竹路,近东安路","['3室', '4室', '别墅', '建筑面积：89-118㎡']","['在售', '住宅']","['项目在建', '轨交房', '大型社区', '购物中心']",最低14800元/㎡起
https://wx.fang.anjuke.com/loupan/251939.html,https://pic4.ajkimg.com/display/xinfang/3509c0cc10a65f05f791fda227e114ea/180x135m.jpg,万荟城,[ 惠山 堰桥 ] 锡澄路地铁1号线刘潭站南侧,"['商住', '建筑面积：37-74㎡']","['在售', '商住']","['新开盘', '项目在建', '轨交房', '大型社区']",最低9000元/㎡起
https://wx.fang.anjuke.com/loupan/250574.html,https://pic4.ajkimg.com/display/xinfang/555c4bb28a6b5dbd0bb30f567e7f07f8/180x135m.jpg,南方不锈钢国际交易中心,[ 新吴 坊前 ] 纺城大道289号（新兴路以北）,"['商住', '建筑面积：60-102㎡']","['在售', '商住']","['低单价', '轨交房', '装修交付', '商业街']",均价11000元/㎡
https://wx.fang.anjuke.com/loupan/252006.html,https://pic4.ajkimg.com/display/xinfang/e554492cf64f689339c231a7d8038f51/180x135m.jpg,融创银城惠山国际社区,[ 惠山 洛社 ] 钱洛路，近洛水路,"['2室', '3室', '4室', '建筑面积：81.7-131㎡']","['在售', '住宅']","['新开盘', '今年交房', '低单价', '项目在建']",最低13000元/㎡起
https://wx.fang.anjuke.com/loupan/240657.html,https://pic4.ajkimg.com/display/xinfang/8842d302dd0644b7805380cc8afcd06c/180x135m.jpg,朗诗新郡,[ 滨湖 太湖 ] 贡湖大道，近高浪路,"['2室', '3室', '4室', '建筑面积：90-212.86㎡']","['待售', '住宅']","['项目在建', '轨交房', '装修交付', '大型社区']",售价待定周边均价21390元/m²
https://wx.fang.anjuke.com/loupan/444336.html,https://pic4.ajkimg.com/display/xinfang/71c3ee4b5a0052c0544a88b665c8231b/180x135m.jpg,万科观湖礼著,[ 新吴 新安 ] 新吴区太科园秀景路与国信支路交汇处,"['3室', '4室', '建筑面积：95-155㎡']","['在售', '住宅']","['项目在建', '装修交付', '低容积', '高绿化率']",均价17500元/㎡
https://wx.fang.anjuke.com/loupan/445317.html,https://pic4.ajkimg.com/display/xinfang/2546203b8444e9c1ec8eb74105cf5607/180x135m.jpg,银城蔚来,[ 滨湖 太湖 ] 高浪路与南湖大道交汇处（地铁1号线塘...,['建筑面积：33-41㎡'],"['在售', '商务公寓']","['项目在建', '轨交房', '装修交付', '品牌开发商']",总价40万元/套起
https://wx.fang.anjuke.com/loupan/432038.html,https://pic4.ajkimg.com/display/xinfang/c4cbf72cf76d8f4620b622c3bd3aa3c5/180x135m.jpg,吴樾东方,[ 新吴 梅村 ] 金城路与梅东河交叉口西南侧,"['3室', '建筑面积：98-144㎡']","['在售', '住宅']","['新开盘', '项目在建', '装修交付', '品牌开发商']",最低16000元/㎡起
https://wx.fang.anjuke.com/loupan/239777.html,https://pic4.ajkimg.com/display/xinfang/a45d558ec61a52245bce4ec93dd331f5/180x135m.jpg,新世界天悦,[ 新吴 坊前 ] 时尚路，近锡山大道,"['商住', '建筑面积：35.54-311㎡']","['在售', '商住']","['新开盘', '今年交房', '项目在建', '轨交房']",最低8000元/㎡起
https://wx.fang.anjuke.com/loupan/248043.html,https://pic4.ajkimg.com/display/xinfang/746fa2d94badb3bfd0c1696606b45fc7/180x135m.jpg,蠡湖瑞仕花园,"[ 滨湖 蠡湖 ] 望山路,近蠡溪路","['3室', '4室', '建筑面积：144-249㎡']","['在售', '住宅']","['项目封顶', '大平层', '高绿化率', '小型社区']",均价24500元/㎡
https://wx.fang.anjuke.com/loupan/239824.html,https://pic4.ajkimg.com/display/xinfang/7637bd5bb9cbbc5a0d843abd33c722a6/180x135m.jpg,融创枫丹御园,"[ 新吴 鸿山 ] 至德大道,近三让路","['3室', '4室', '别墅', '建筑面积：89-257.16㎡']","['在售', '住宅']","['新开盘', '低单价', '项目在建', '低容积']",最低13500元/㎡起
https://wx.fang.anjuke.com/loupan/244877.html,https://pic4.ajkimg.com/display/xinfang/38559f0d28e407f46bcaaad5972fd5b2/180x135m.jpg,栖霞栖园,[ 滨湖 太湖 ] 香雪路，近环湖路,"['3室', '4室', '别墅', '建筑面积：161-470㎡']","['在售', '住宅']","['新开盘', '轨交房', '小型社区', '医院']",最低15000元/㎡起
https://wx.fang.anjuke.com/loupan/441354.html,https://pic4.ajkimg.com/display/xinfang/f30c3ecd7fa317e869ae1d2f17bf7f45/180x135m.jpg,龙湖天鉅,[ 惠山 堰桥 ] 惠源路东侧、亿仁医院北侧,"['3室', '建筑面积：98-118㎡']","['待售', '住宅']","['项目在建', '装修交付', '品牌开发商', '小型社区']",售价待定
https://wx.fang.anjuke.com/loupan/430417.html,https://pic4.ajkimg.com/display/xinfang/953a9c5a3ec184935d77d1d10bf465f4/180x135m.jpg,碧桂园金茂悦山,[ 锡山 锡北 ] 政丰路与泾声路交汇处（泉山文化公园对...,"['3室', '别墅', '建筑面积：105-228㎡']","['在售', '住宅']","['低单价', '项目在建', '品牌开发商', '低容积']",均价11500元/㎡
https://wx.fang.anjuke.com/loupan/239609.html,https://pic4.ajkimg.com/display/xinfang/7c2ca3dbef4a22317824b519b4c2cbb9/180x135m.jpg,华润悦府,[ 滨湖 河埒 ] 湖滨路，近梁溪路,"['3室', '4室', '建筑面积：174-298㎡']","['在售', '住宅']","['今年交房', '项目在建', '轨交房', '装修交付']",均价23500元/㎡
https://wx.fang.anjuke.com/loupan/426853.html,https://pic4.ajkimg.com/display/xinfang/9adc283cc559b7edc63f7e33e8fd8081/180x135m.jpg,时代城,"[ 惠山 钱桥 ] 上伟路,近香缇路","['3室', '4室', '建筑面积：95-133㎡']","['在售', '住宅']","['低单价', '项目在建', '装修交付', '品牌开发商']",最低12000元/㎡起
https://wx.fang.anjuke.com/loupan/427696.html,https://pic4.ajkimg.com/display/xinfang/b3445a85b718323cb92e3ff933d59a3d/180x135m.jpg,绿城凤起和鸣,[ 滨湖 太湖 ] 和风路与立信大道交叉口西北侧,"['3室', '4室', '别墅', '建筑面积：111-262.8㎡']","['在售', '住宅']","['项目在建', '装修交付', '品牌开发商', '小型社区']",最低31000元/㎡起
https://wx.fang.anjuke.com/loupan/406049.html,https://pic4.ajkimg.com/display/xinfang/d35329abd9d71e31f670b9c6459c18f6/180x135m.jpg,万科北门塘上,"[ 梁溪 北塘 ] 广石西路,近凤宾路","['3室', '4室', '建筑面积：92-141㎡']","['在售', '住宅']","['项目在建', '装修交付', '品牌开发商', '小型社区']",均价18000元/㎡
https://wx.fang.anjuke.com/loupan/446640.html,https://pic4.ajkimg.com/display/xinfang/d43e91ff7a3fb798d1b5a33e789629da/180x135m.jpg,宜兴恒大花溪小镇,[ 宜兴 高塍镇 ] 远东大道与科技大道交汇处,"['3室', '4室', '建筑面积：101.44-147.58㎡']","['在售', '住宅']","['新开盘', '低单价', '项目在建', '装修交付']",均价7500元/㎡
https://wx.fang.anjuke.com/loupan/432265.html,https://pic4.ajkimg.com/display/xinfang/b00802c3dfe1968f283d481278c65c29/180x135m.jpg,美的国宾府,[ 惠山 堰桥 ] 惠山大道与天丰路交汇处,"['3室', '4室', '建筑面积：120-140㎡']","['在售', '住宅']","['新开盘', '项目在建', '轨交房', '装修交付']",最低16900元/㎡起
https://wx.fang.anjuke.com/loupan/252540.html,https://pic4.ajkimg.com/display/xinfang/71c6dedea48803fd2055f2f97660cf4a/180x135m.jpg,太平洋城中城,[ 惠山 堰桥 ] 天一路,"['3室', '4室', '建筑面积：94-143㎡']","['在售', '住宅']","['项目在建', '轨交房', '大平层', '小型社区']",最低12000元/㎡起
https://wx.fang.anjuke.com/loupan/439613.html,https://pic4.ajkimg.com/display/xinfang/94914de8872cf5a0ca1d5fd30fd649ee/180x135m.jpg,碧桂园湖悦天境,[ 宜兴 宜城 ] 宜兴市太湖大道与新源路交汇处,"['3室', '4室', '建筑面积：119-147㎡']","['在售', '住宅']","['新开盘', '项目在建', '品牌开发商', '小型社区']",最低11000元/㎡起
https://wx.fang.anjuke.com/loupan/247947.html,https://pic4.ajkimg.com/display/xinfang/1a2039dcce039db78a3416bf8b888257/180x135m.jpg,中联公园里,[ 锡山 东北塘 ] 芙蓉六路近东亭北路,"['商住', '建筑面积：47-82㎡']","['在售', '商住']","['低单价', '项目在建', '小型社区', '车位充足']",均价10000元/㎡
https://wx.fang.anjuke.com/loupan/439767.html,https://pic4.ajkimg.com/display/xinfang/e38c2bbb8021a94da893d4d71cb9bb52/180x135m.jpg,路劲梅都府,[ 新吴 梅村 ] 梅西路与泰伯大道交叉口西北侧,"['3室', '4室', '建筑面积：96-143㎡']","['待售', '住宅']","['项目在建', '装修交付', '品牌开发商', '低容积']",售价待定
https://wx.fang.anjuke.com/loupan/445142.html,https://pic4.ajkimg.com/display/xinfang/1d2cf49394cf10abcfd0a08b159ef65f/180x135m.jpg,寺头家园三期,[ 惠山 堰桥 ] 惠山大道与天锦路交口北侧,"['2室', '3室', '建筑面积：85-136㎡']","['在售', '住宅']","['低单价', '轨交房', '高绿化率', '大型社区']",均价10200元/㎡
https://wx.fang.anjuke.com/loupan/264006.html,https://pic4.ajkimg.com/display/xinfang/46ffe87bcb01942de6204a9f9b443cd7/180x135m.jpg,美的公园天下,[ 锡山 锡东 ] 和祥路，近弘业东路,"['2室', '3室', '别墅', '建筑面积：89-168㎡']","['在售', '住宅']","['今年交房', '项目在建', '轨交房', '低容积']",均价16500元/㎡
https://wx.fang.anjuke.com/loupan/417092.html,https://pic4.ajkimg.com/display/xinfang/0a76909e098c8f7963d03ef82a493320/180x135m.jpg,香槟壹号,"[ 滨湖 马山 ] 锡宜公路,近振胡路","['3室', '4室', '建筑面积：88-145㎡']","['在售', '住宅']","['低单价', '项目在建', '高绿化率', '小型社区']",最低11000元/㎡起
https://wx.fang.anjuke.com/loupan/441259.html,https://pic4.ajkimg.com/display/xinfang/5acab5cf683235a3660daf345a77336d/180x135m.jpg,万科运河传奇,[ 梁溪 南长 ] 南长街与港务路交叉口西南侧,"['3室', '4室', '建筑面积：95-125㎡']","['待售', '住宅']","['轨交房', '便利店', '大户型', '人气楼盘']",售价待定
https://wx.fang.anjuke.com/loupan/241148.html,https://pic4.ajkimg.com/display/xinfang/ef9805d5953ea419b7c121571e93826c/180x135m.jpg,绿地乐和城,"[ 锡山 东亭 ] 春合路,近太湖大道","['1室', '2室', '3室', '商住', '别墅', '建筑面积：50-369㎡']","['待售', '商住']","['今年交房', '装修交付', '品牌开发商', '大型社区']",售价待定周边均价15320元/m²
https://wx.fang.anjuke.com/loupan/434188.html,https://pic4.ajkimg.com/display/xinfang/a18cc151298a8870715f7d78fe291b4a/180x135m.jpg,荣盛华府,[ 宜兴 宜城 ] 学府路与学院路交汇处往东200米,"['3室', '4室', '建筑面积：128-144㎡']","['待售', '住宅']","['项目在建', '低容积', '高绿化率', '小型社区']",售价待定周边均价13750元/m²
https://wx.fang.anjuke.com/loupan/437357.html,https://pic4.ajkimg.com/display/xinfang/b7ee58ba6a9439aa7253b255c705f32b/180x135m.jpg,金轮湖晓兰庭,[ 滨湖 马山 ] 十里明珠堤与霞光路交叉口,"['别墅', '建筑面积：141-152㎡']","['待售', '别墅']","['南北通透', '三房朝南', '厨卫全明', '大户型']",售价待定
https://wx.fang.anjuke.com/loupan/426119.html,https://pic4.ajkimg.com/display/xinfang/edef4ff113c0b54d1546874e7b64643b/180x135m.jpg,恒大财富中心,[ 滨湖 太湖 ] 立德路与吴都路交叉处,['建筑面积：55-89㎡'],"['在售', '商务公寓']","['轨交房', '品牌开发商', '大型社区', '购物中心']",最低12000元/㎡起
https://wx.fang.anjuke.com/loupan/441520.html,https://pic4.ajkimg.com/display/xinfang/a4f2c9de934609aa16c238636cc7b97d/180x135m.jpg,阿尔法公馆,[ 新吴 江溪 ] 新吴区行创四路与新光路交叉路口,['建筑面积：50-50㎡'],"['在售', '商务公寓']","['项目在建', 'loft', '商业街', '医院']",最低9500元/㎡起
https://wx.fang.anjuke.com/loupan/418608.html,https://pic4.ajkimg.com/display/xinfang/25af10ae707b29887aa9add3099e3991/180x135m.jpg,鸿坤理想湾,[ 新吴 鸿山 ] 至德大道797号,"['3室', '4室', '建筑面积：97-146㎡']","['待售', '住宅']","['项目在建', '大型社区', '大户型', '热销盘']",售价待定周边均价14433元/m²
